Date,Location,Site,Side,Main_Microbe_Color,Main_Percent_Cover,Microbe_2_Color,Percent_Coverage_2,Microbe_3_Color,Percent_Coverage_3,Microbe_4_Color,Percent_Coverage_4,Mold_Present
7/26/22,mill_pond,B,R,dark_yellow,14,light_yellow,17,na,na,na,na,N
7/26/22,mill_pond,A,L,light_yellow,14,black,13,na,na,na,na,N
7/1/22,mill_pond,A,L,light_yellow,40,na,na,na,na,na,na,N
7/1/22,mill_pond,B,R,light_yellow,10,na,na,na,na,na,na,N
5/30/22,mill_pond,B,na,black,50,clear,10,na,na,na,na,N
5/30/22,mill_pond,B,na,pink,60,light_yellow,10,na,na,na,na,Y
4/25/22,mill_pond,B,na,light_yellow,10,purple,0,na,na,na,na,N
4/25/22,mill_pond,A,na,black,17,light_yellow,5,na,na,na,na,N
12/22/22,mill_pond,all_L,na,light_yellow,60,black,1,na,na,na,na,N
12/22/22,mill_pond,all_L,na,light_yellow,50,black,2,na,na,na,na,N
11/26/22,mill_pond,A,R,black,40,light_yellow,10,na,na,na,na,N
11/26/22,mill_pond,B,L,light_yellow,80,dark_yellow,10,na,na,na,na,N
10/29/22,mill_pond,B,L,light_yellow,40,na,na,na,na,na,na,N
10/29/22,mill_pond,A,R,orange,10,light_yellow,10,black,8,na,na,N
10/1/22,mill_pond,B,R,black,40,dark_yellow,10,light_yellow,5,na,na,N
10/1/22,mill_pond,A,L,light_yellow,40,na,na,na,na,na,na,N
9/2/22,woodman_rd,A,R,black,50,light_yellow,5,na,na,na,na,N
9/2/22,woodman_rd,B,L,light_yellow,35,black,30,na,na,na,na,N
7/26/22,woodman_rd,B,L,light_yellow,30,dark_yellow,15,na,na,na,na,N
7/26/22,woodman_rd,A,R,pink,45,light_yellow,20,orange,5,na,na,Y
5/30/22,woodman_rd,B,L,light_yellow,60,na,na,na,na,na,na,N
5/30/22,woodman_rd,A,R,light_yellow,50,green,2,yellow,2,black,2,N
7/1/22,woodman_rd,A,L,yellow,30,light_yellow,5,orange,1,na,na,N
7/1/22,woodman_rd,B,R,yellow,15,light_yellow,10,orange,1,na,na,N
4/25/22,woodman_rd,B,na,black,20,light_yellow,10,yellow,5,na,na,N
4/25/23,woodman_rd,A,na,dark_yellow,20,na,na,na,na,na,na,Y
4/4/22,woodman_rd,tube_2,na,light_yellow,30,purple,13,na,na,na,na,N
4/4/22,woodman_rd,tube_1,na,light_yellow,75,black,10,na,na,na,na,N
12/22/22,woodman_rd,A,na,light_yellow,30,na,na,na,na,na,na,N
12/22/22,woodman_rd,B,na,light_yellow,40,yellow,5,black,3,na,na,N
11/26/22,woodman_rd,A,R,dark_yellow,50,na,na,na,na,na,na,N
11/26/22,woodman_rd,B,L,black,20,light_yellow,15,dark_yellow,10,na,na,N
10/29/22,woodman_rd,B,L,gray,10,light_yellow,10,dark_yellow,5,na,na,N
10/29/22,woodman_rd,A,R,yellow,20,light_yellow,10,black,5,na,na,N
10/1/22,woodman_rd,B,na,light_yellow,60,na,na,na,na,na,na,N
10/1/22,woodman_rd,A,R,light_yellow,15,yellow,5,black,3,na,na,N
8/2/22,durham_reservoir,B,L,black,70,na,na,na,na,na,na,Y
8/2/22,durham_reservoir,A,R,light_yellow,20,dark_yellow,5,red,5,na,na,N
7/4/22,durham_reservoir,A,na,light_yellow,35,dark_yellow,na,na,na,na,na,N
7/4/22,durham_reservoir,B,na,light_yellow,20,brown,5,na,na,na,na,N
6/1/22,durham_reservoir,A,na,black,90,light_yellow,5,na,na,na,na,N
6/1/22,durham_reservoir,B,na,light_yellow,20,yellow,5,na,na,na,na,N
5/10/22,durham_reservoir,A,na,black,80,na,na,na,na,na,na,Y
5/10/22,durham_reservoir,B,na,black,25,light_yellow,7,yellow,2,na,na,N
10/8/22,durham_reservoir,B,R,black,25,yellow,10,orange,6,na,na,N
10/8/22,durham_reservoir,A,L,gray,10,light_yellow,15,yellow,2,na,na,N
11/4/22,durham_reservoir,B,na,gray,5,light_yellow,10,yellow,5,na,na,N
11/4/22,durham_reservoir,A,na,light_yellow,10,yellow,5,black,5,na,na,N
8/9/22,laroche_pond,B,R,light_yellow,15,dark_yellow,5,orange,5,na,na,N
8/9/22,laroche_pond,A,L,yellow,15,light_yellow,10,orange,5,na,na,N
6/10/22,laroche_pond,A,L,light_yellow,10,black,7,yellow,5,na,na,N
6/10/22,laroche_pond,B,na,black,5,light_yellow,20,na,na,na,na,N
7/12/22,laroche_pond,A,R,yellow,50,na,na,na,na,na,na,N
7/12/22,laroche_pond,B,L,yellow,30,orange,2,brown ,1,na,na,N
5/12/22,laroche_pond,A,L,black,35,light_yellow,15,orange,2,na,na,Y
5/12/22,laroche_pond,B,L,black,35,light_yellow,10,light_yellow,10,na,na,N
12/18/22,laroche_pond,A,na,black,25,light_yellow,10,yellow,5,na,na,N
12/18/22,laroche_pond,B,na,yellow,5,light_yellow,2,na,na,na,na,N
10/16/22,laroche_pond,A,L,light_yellow,40,yellow,10,orange,5,na,na,N
10/16/22,laroche_pond,B,R,light_yellow,20,yellow,10,purple,5,na,na,N
11/11/22,laroche_pond,B,L,black,50,light_yellow,50,na,na,na,na,Y
11/11/22,laroche_pond,A,R,light_yellow,20,yellow,20,orange,1,na,na,N
8/5/22,thompson_farm,B,R,yellow,10,light_yellow,10,gray,5,na,na,N
8/5/22,thompson_farm,A,L,light_yellow,20,brown,10,na,na,na,na,N
7/8/22,thompson_farm,B,L,light_yellow,90,yellow,5,na,na,na,na,N
7/8/22,thompson_farm,A,R,light_yellow,40,yellow,10,brown ,1,black,1,N
6/4/22,thompson_farm,B,na,light_yellow,98,black,2,na,na,na,na,N
6/4/22,thompson_farm,A,na,light_yellow,80,yellow,5,na,na,na,na,N
5/7/22,thompson_farm,B,na,light_yellow,20,yellow,7,na,na,na,na,N
5/7/22,thompson_farm,A,na,light_yellow,15,gray,7,orange,5,na,na,N
12/15/22,thompson_farm,A,R,light_yellow,60,na,na,na,na,na,na,N
11/5/22,thompson_farm,B,L,light_yellow,30,dark_yellow,2,na,na,na,na,N
11/5/22,thompson_farm,A,R,light_yellow,10,brown,2,black,2,na,na,N
